img,output,timestamp
.gradio\flagged\img\35e337544702d816df12\OIP-_2Itmpob3Q0nbJKrHvtnfAHaJ3.jpeg,Bu görsel sınıfı: cane,2025-05-01 17:11:08.032778
.gradio\flagged\img\db508cec937131ebb6ec\OIP-_2Itmpob3Q0nbJKrHvtnfAHaJ3.jpeg,Bu görsel sınıfı: cane,2025-05-01 17:11:10.524238
